Date,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
10/30/2016,21600038,Final,1610612765,1610612749,2016,1610612765,98,0.443,0.75,0.25,23,58,1610612749,83,0.391,0.786,0.235,22,40,1
10/30/2016,21600041,Final,1610612745,1610612742,2016,1610612745,93,0.42,0.667,0.355,16,47,1610612742,92,0.372,0.85,0.355,17,43,1
10/30/2016,21600040,Final,1610612760,1610612747,2016,1610612760,113,0.474,0.824,0.346,29,45,1610612747,96,0.402,0.792,0.219,20,41,1
10/30/2016,21600039,Final,1610612763,1610612764,2016,1610612763,112,0.443,0.731,0.484,24,47,1610612764,103,0.442,0.88,0.2,19,40,1
10/30/2016,21600037,Final,1610612748,1610612759,2016,1610612748,99,0.463,0.692,0.35,19,36,1610612759,106,0.451,0.846,0.556,20,44,0
10/30/2016,21600036,Final,1610612756,1610612744,2016,1610612756,100,0.411,0.72,0.348,19,50,1610612744,106,0.422,0.848,0.276,27,43,0
10/31/2016,21600044,Final,1610612737,1610612758,2016,1610612737,106,0.418,0.617,0.367,24,43,1610612758,95,0.48,0.684,0.435,26,38,1
10/31/2016,21600045,Final,1610612746,1610612756,2016,1610612746,116,0.5,0.789,0.375,21,44,1610612756,98,0.417,0.742,0.333,19,44,1
10/31/2016,21600042,Final,1610612761,1610612743,2016,1610612761,105,0.466,0.76,0.25,16,43,1610612743,102,0.407,0.771,0.409,14,46,1
10/31/2016,21600043,Final,1610612751,1610612741,2016,1610612751,88,0.344,0.81,0.161,14,45,1610612741,118,0.506,0.944,0.407,26,58,0
11/1/2016,21600052,Final,1610612750,1610612763,2016,1610612750,116,0.551,0.783,0.6,29,50,1610612763,80,0.36,0.759,0.167,10,32,1
11/1/2016,21600050,Final,1610612765,1610612752,2016,1610612765,102,0.461,0.571,0.615,19,48,1610612752,89,0.407,0.8,0.318,18,43,1
11/1/2016,21600049,Final,1610612748,1610612758,2016,1610612748,108,0.43,0.724,0.448,24,45,1610612758,96,0.382,0.852,0.217,12,53,1
11/1/2016,21600046,Final,1610612755,1610612753,2016,1610612755,101,0.494,0.75,0.45,28,42,1610612753,103,0.452,0.765,0.24,29,39,0
11/1/2016,21600053,Final,1610612759,1610612762,2016,1610612759,91,0.434,0.905,0.3,19,34,1610612762,106,0.5,0.833,0.484,22,39,0
11/1/2016,21600048,Final,1610612754,1610612747,2016,1610612754,115,0.471,0.793,0.357,19,43,1610612747,108,0.449,0.88,0.214,14,44,1
11/1/2016,21600051,Final,1610612740,1610612749,2016,1610612740,113,0.439,0.78,0.346,23,42,1610612749,117,0.484,0.905,0.313,30,49,0
11/1/2016,21600047,Final,1610612739,1610612745,2016,1610612739,128,0.518,0.839,0.5,22,46,1610612745,120,0.478,0.68,0.386,30,32,1
11/1/2016,21600054,Final,1610612757,1610612744,2016,1610612757,104,0.43,0.762,0.359,23,32,1610612744,127,0.562,0.739,0.385,36,45,0
11/2/2016,21600062,Final,1610612762,1610612742,2016,1610612762,97,0.455,0.577,0.48,18,41,1610612742,81,0.429,0.8,0.269,18,36,1
11/2/2016,21600060,Final,1610612763,1610612740,2016,1610612763,89,0.351,0.75,0.296,20,52,1610612740,83,0.37,0.75,0.324,17,43,1
11/2/2016,21600064,Final,1610612746,1610612760,2016,1610612746,83,0.391,0.444,0.318,22,41,1610612760,85,0.405,0.6,0.25,14,52,0
11/2/2016,21600056,Final,1610612766,1610612755,2016,1610612766,109,0.494,0.692,0.382,25,44,1610612755,93,0.395,0.867,0.316,23,37,1
11/2/2016,21600061,Final,1610612738,1610612741,2016,1610612738,107,0.471,0.647,0.438,28,39,1610612741,100,0.432,0.742,0.35,21,49,1
11/2/2016,21600057,Final,1610612751,1610612765,2016,1610612751,109,0.539,0.824,0.481,27,45,1610612765,101,0.42,0.857,0.36,21,38,1
11/2/2016,21600055,Final,1610612764,1610612761,2016,1610612764,103,0.583,0.667,0.3,21,36,1610612761,113,0.558,0.68,0.4,21,31,0
11/2/2016,21600063,Final,1610612756,1610612757,2016,1610612756,118,0.427,0.833,0.313,15,59,1610612757,115,0.416,0.905,0.364,25,53,1
11/2/2016,21600058,Final,1610612752,1610612745,2016,1610612752,99,0.435,0.68,0.4,18,34,1610612745,118,0.472,0.704,0.375,25,54,0
11/2/2016,21600059,Final,1610612737,1610612747,2016,1610612737,116,0.482,0.793,0.344,30,37,1610612747,123,0.533,0.9,0.409,24,42,0
11/3/2016,21600065,Final,1610612753,1610612758,2016,1610612753,102,0.452,0.696,0.333,24,44,1610612758,94,0.475,0.647,0.389,17,39,1
11/3/2016,21600069,Final,1610612744,1610612760,2016,1610612744,122,0.517,0.8,0.467,27,46,1610612760,96,0.402,0.571,0.37,20,41,1
11/3/2016,21600067,Final,1610612750,1610612743,2016,1610612750,99,0.398,0.8,0.409,20,43,1610612743,102,0.481,0.72,0.273,24,44,0
11/3/2016,21600066,Final,1610612749,1610612754,2016,1610612749,125,0.573,0.792,0.444,32,41,1610612754,107,0.469,0.778,0.435,29,32,1
11/3/2016,21600068,Final,1610612739,1610612738,2016,1610612739,128,0.488,0.865,0.412,24,42,1610612738,122,0.479,0.864,0.344,25,39,1
11/4/2016,21600071,Final,1610612761,1610612748,2016,1610612761,96,0.44,0.889,0.24,14,50,1610612748,87,0.386,0.667,0.321,19,43,1
11/4/2016,21600070,Final,1610612764,1610612737,2016,1610612764,95,0.388,0.8,0.25,13,46,1610612737,92,0.386,0.639,0.2,22,47,1
11/4/2016,21600078,Final,1610612747,1610612744,2016,1610612747,117,0.474,0.905,0.267,26,51,1610612744,97,0.453,0.7,0.156,26,40,1
11/4/2016,21600074,Final,1610612763,1610612746,2016,1610612763,88,0.369,0.773,0.346,26,48,1610612746,99,0.376,0.818,0.296,19,47,0
11/4/2016,21600072,Final,1610612751,1610612766,2016,1610612751,95,0.402,0.762,0.25,20,46,1610612766,99,0.419,0.708,0.333,24,49,0
11/4/2016,21600077,Final,1610612762,1610612759,2016,1610612762,86,0.375,0.625,0.423,15,42,1610612759,100,0.446,0.909,0.3,17,49,0
11/4/2016,21600076,Final,1610612742,1610612757,2016,1610612742,95,0.41,0.85,0.357,18,44,1610612757,105,0.45,0.808,0.387,21,42,0
11/4/2016,21600075,Final,1610612740,1610612756,2016,1610612740,111,0.457,0.536,0.333,28,43,1610612756,112,0.43,0.857,0.333,18,59,0
11/4/2016,21600073,Final,1610612741,1610612752,2016,1610612741,104,0.44,0.815,0.348,15,42,1610612752,117,0.517,0.762,0.429,32,40,0
11/5/2016,21600081,Final,1610612753,1610612764,2016,1610612753,88,0.397,0.63,0.321,21,43,1610612764,86,0.395,0.706,0.353,11,49,1
11/5/2016,21600082,Final,1610612765,1610612743,2016,1610612765,103,0.476,0.727,0.35,22,47,1610612743,86,0.33,0.85,0.28,15,48,1
11/5/2016,21600085,Final,1610612749,1610612758,2016,1610612749,117,0.5,0.84,0.424,28,53,1610612758,91,0.393,0.789,0.357,27,36,1
11/5/2016,21600079,Final,1610612760,1610612750,2016,1610612760,112,0.523,0.625,0.438,24,41,1610612750,92,0.393,0.759,0.211,12,41,1
11/5/2016,21600083,Final,1610612754,1610612741,2016,1610612754,111,0.535,0.583,0.462,27,36,1610612741,94,0.43,0.8,0.333,17,40,1
11/5/2016,21600084,Final,1610612737,1610612745,2016,1610612737,112,0.529,0.583,0.4,29,44,1610612745,97,0.435,0.846,0.333,22,43,1
11/5/2016,21600080,Final,1610612755,1610612739,2016,1610612755,101,0.46,0.583,0.368,21,45,1610612739,102,0.407,0.778,0.368,23,49,0
11/5/2016,21600086,Final,1610612759,1610612746,2016,1610612759,92,0.405,0.88,0.4,19,40,1610612746,116,0.516,0.929,0.391,24,41,0
11/6/2016,21600090,Final,1610612742,1610612749,2016,1610612742,86,0.375,0.917,0.237,14,46,1610612749,75,0.366,0.75,0.207,14,51,1
11/6/2016,21600089,Final,1610612761,1610612758,2016,1610612761,91,0.357,0.774,0.233,22,43,1610612758,96,0.436,0.742,0.313,21,47,0
11/6/2016,21600088,Final,1610612763,1610612757,2016,1610612763,94,0.383,0.813,0.231,15,44,1610612757,100,0.451,0.815,0.424,19,37,0
11/6/2016,21600092,Final,1610612747,1610612756,2016,1610612747,119,0.456,0.771,0.435,22,53,1610612756,108,0.44,0.786,0.3,20,40,1
11/6/2016,21600087,Final,1610612752,1610612762,2016,1610612752,109,0.506,0.895,0.4,18,39,1610612762,114,0.507,0.857,0.32,21,34,0
11/6/2016,21600091,Final,1610612738,1610612743,2016,1610612738,107,0.456,0.81,0.32,31,39,1610612743,123,0.524,0.774,0.478,21,47,0
11/7/2016,21600096,Final,1610612741,1610612753,2016,1610612741,112,0.472,0.806,0.158,26,56,1610612753,80,0.388,0.833,0.3,28,39,1
11/7/2016,21600098,Final,1610612746,1610612765,2016,1610612746,114,0.539,0.864,0.52,28,46,1610612765,82,0.366,0.692,0.333,14,39,1
11/7/2016,21600097,Final,1610612760,1610612748,2016,1610612760,97,0.435,0.824,0.321,24,47,1610612748,85,0.369,0.864,0.235,12,41,1
11/7/2016,21600095,Final,1610612766,1610612754,2016,1610612766,122,0.488,0.875,0.375,30,43,1610612754,100,0.426,0.733,0.273,23,52,1
11/7/2016,21600099,Final,1610612744,1610612740,2016,1610612744,116,0.5,0.833,0.457,35,38,1610612740,106,0.488,0.778,0.333,26,43,1
11/7/2016,21600093,Final,1610612755,1610612762,2016,1610612755,84,0.403,0.682,0.333,16,42,1610612762,109,0.506,0.6,0.579,20,45,0
11/7/2016,21600094,Final,1610612764,1610612745,2016,1610612764,106,0.415,0.9,0.37,20,45,1610612745,114,0.519,0.833,0.459,28,37,0
11/8/2016,21600105,Final,1610612758,1610612740,2016,1610612758,102,0.481,0.8,0.32,24,39,1610612740,94,0.452,0.722,0.238,23,40,1
11/8/2016,21600102,Final,1610612763,1610612743,2016,1610612763,108,0.512,0.684,0.292,29,32,1610612743,107,0.5,0.794,0.417,24,39,1
11/8/2016,21600104,Final,1610612747,1610612742,2016,1610612747,97,0.487,0.786,0.385,20,37,1610612742,109,0.524,0.867,0.435,24,37,0
11/8/2016,21600100,Final,1610612739,1610612737,2016,1610612739,106,0.374,0.84,0.262,21,39,1610612737,110,0.506,0.708,0.379,22,50,0
11/8/2016,21600101,Final,1610612751,1610612750,2016,1610612751,119,0.553,0.885,0.364,20,43,1610612750,110,0.424,0.714,0.429,20,41,1
11/8/2016,21600103,Final,1610612757,1610612756,2016,1610612757,124,0.556,0.714,0.452,22,35,1610612756,121,0.5,0.848,0.333,18,41,1
11/9/2016,21600115,Final,1610612746,1610612757,2016,1610612746,111,0.437,0.727,0.344,24,55,1610612757,80,0.352,0.857,0.2,16,47,1
11/9/2016,21600107,Final,1610612764,1610612738,2016,1610612764,118,0.5,0.8,0.476,29,54,1610612738,93,0.432,0.591,0.323,21,31,1
11/9/2016,21600116,Final,1610612744,1610612742,2016,1610612744,116,0.581,0.591,0.515,33,39,1610612742,95,0.395,0.75,0.214,20,42,1
11/9/2016,21600106,Final,1610612752,1610612751,2016,1610612752,110,0.478,0.706,0.333,25,50,1610612751,96,0.418,0.704,0.333,19,40,1
11/9/2016,21600108,Final,1610612766,1610612762,2016,1610612766,104,0.463,0.69,0.308,24,37,1610612762,98,0.463,0.778,0.235,24,46,1
11/9/2016,21600113,Final,1610612756,1610612765,2016,1610612756,107,0.452,0.767,0.364,20,49,1610612765,100,0.36,0.844,0.409,20,41,1
11/9/2016,21600114,Final,1610612759,1610612745,2016,1610612759,99,0.393,0.867,0.304,22,39,1610612745,101,0.474,0.773,0.333,25,45,0
11/9/2016,21600111,Final,1610612737,1610612741,2016,1610612737,115,0.506,0.815,0.45,24,48,1610612741,107,0.451,0.762,0.333,24,31,1
